OrderID,CustomerID,UnitsOrdered,Discount,Description,Gender,UnitPrice,Name,City,State,full_date,year,month,day,Revenue
1,2,113,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-01-02,2012,1,2,2825.0
9,2,106,0.100000001,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-01-07,2012,1,7,265.00000265
33,2,142,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-01-20,2012,1,20,3550.0
172,2,120,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-05-16,2012,5,16,3000.0
208,2,61,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-06-06,2012,6,6,1525.0
225,2,148,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-06-19,2012,6,19,3700.0
234,2,99,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-06-29,2012,6,29,2475.0
445,2,101,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2012-12-06,2012,12,6,2525.0
495,2,115,0.100000001,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2013-01-20,2013,1,20,287.500002875
514,2,91,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2013-01-30,2013,1,30,2275.0
550,2,57,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2013-02-28,2013,2,28,1425.0
708,2,113,0.100000001,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2013-07-26,2013,7,26,282.500002825
713,2,114,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2013-08-01,2013,8,1,2850.0
793,2,72,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2013-10-03,2013,10,3,1800.0
880,2,141,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2013-12-20,2013,12,20,3525.0
1120,2,56,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2014-06-14,2014,6,14,1400.0
1308,2,141,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2014-10-16,2014,10,16,3525.0
1362,2,131,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2014-11-30,2014,11,30,3275.0
1508,2,142,0.050000001,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2015-04-02,2015,4,2,177.50000355
1574,2,122,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2015-06-04,2015,6,4,3050.0
1596,2,63,0.050000001,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2015-06-22,2015,6,22,78.750001575
1735,2,57,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2015-10-21,2015,10,21,1425.0
1866,2,31,0.100000001,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2016-02-11,2016,2,11,77.500000775
